material_id,energy_above_hull,density,formula_pretty,nelements,volume,band_gap,total_magnetization,battery_type,average_voltage,theoretical_capacity_grav,theoretical_capacity_vol,energy_grav,energy_vol,num_steps,max_voltage_step,stability_charge,stability_discharge,e_fermi,nsites,num_unique_elements,avg_atomic_number,min_atomic_number,max_atomic_number,avg_atomic_mass,min_atomic_mass,max_atomic_mass,avg_electronegativity,min_electronegativity,max_electronegativity,avg_covalent_radius,min_covalent_radius,max_covalent_radius,std_electronegativity,ionic_radius_ion,atomic_weight_ion,charge_ion,atomic_number_ion,electronegativity_ion,working_ion_Li,working_ion_Mg,working_ion_Na,crystal_system_Cubic,crystal_system_Hexagonal,crystal_system_Monoclinic,crystal_system_Orthorhombic,crystal_system_Tetragonal,crystal_system_Triclinic,crystal_system_Trigonal,is_metal_False,is_metal_True,theoretical_False,theoretical_True
mp-1002568,0.071549737857137,4.112036503035952,MgMn2O4,3.0,160.05862626445344,0.6492999999999991,5.9977781,insertion,-0.275526295000001,121.18129878290252,515.3670519985898,-33.38863427694127,-141.99717440224433,1.0,0.0,0.071549737857137,0.054909807812499,3.07976824,14,3.0,15.0,8.0,25.0,31.74734666666667,15.999,54.93804,2.1,1.31,3.44,174.0,152.0,197.0,1.1666619047521865,1.02,22.99,1,11,0.93,0,0,1,0,0,1,0,0,0,0,1,0,0,1
mp-10033,0.0,4.203264240289562,NbS2,2.0,124.07739745121462,0.0,1.7276673,insertion,2.426251071666664,163.44620913789387,698.5407682632838,396.5615400806688,1694.8352876016477,2.0,0.487941494444425,0.0,0.0,3.52598139,6,2.0,28.5,16.0,41.0,62.488185,32.07,92.90637,2.09,1.6,2.58,193.5,180.0,207.0,0.6929646455628166,0.76,6.941,1,3,0.98,1,0,0,0,1,0,0,0,0,0,0,1,1,0
mp-1003637,0.029378997508326,4.350042690634552,LiMn3O6,3.0,102.20862543874496,0.337099999999999,10.0005936,insertion,2.341612886666654,49.40874576316023,213.4543090637522,115.69615579305244,499.8273608182089,1.0,0.0,0.029378997508326,0.059105272857143,2.60884303,10,3.0,12.0,3.0,25.0,25.97901333333333,7.0,54.93804,1.9900000000000002,0.98,3.44,177.0,152.0,197.0,1.287672318565558,0.76,6.941,1,3,0.98,1,0,0,0,0,1,0,0,0,0,1,0,0,1
mp-1003854,0.151309313541667,3.781312336816018,KMnO2,3.0,221.3901031125307,1.332199999999999,15.999967,insertion,0.011718707500006,101.43516062851312,331.113425613278,1.188688977621696,3.880221384087084,1.0,0.0,0.151309313541667,0.158791030833328,1.70624318,16,3.0,17.333333333333332,8.0,25.0,36.678446666666666,15.999,54.93804,1.9366666666666668,0.82,3.44,208.0,152.0,275.0,1.3521217893863455,0.72,24.305,2,12,1.31,0,1,0,0,0,0,0,1,0,0,1,0,0,1
mp-1004375,0.042390792996801,4.096518574599136,MgMn4O8,3.0,150.8128183873703,0.276599999999999,14.0003033,insertion,-0.950239192499998,231.0415463593404,829.0970768255723,-219.54473244645052,-787.8405367868411,1.0,0.0,0.042390792996801,0.17166869676471,2.75691845,13,3.0,15.0,8.0,25.0,31.74734666666667,15.999,54.93804,2.1,1.31,3.44,174.0,152.0,197.0,1.1666619047521865,1.02,22.99,1,11,0.93,0,0,1,0,0,0,1,0,0,0,1,0,0,1
mp-10062,0.004804307678565,6.520796147877304,Ba2NdNb(CuO4)2,5.0,195.29058698959764,0.0,0.0013461,insertion,-1.879516537499998,67.74940532419697,393.2151545865617,-127.33612771261862,-739.0543858410609,1.0,0.0,0.004804307678565,0.385907462000005,3.4304772,14,5.0,38.8,8.0,60.0,90.805074,15.999,144.24,1.794,0.89,3.44,199.2,140.0,268.0,1.000389923979645,0.72,24.305,2,12,1.31,0,1,0,0,0,0,0,1,0,0,0,1,1,0
mp-1009555,0.192758304999967,5.153049976694693,CrO2,2.0,27.066846523119608,0.0,1.9987035,insertion,-0.826594743333332,294.72937690575327,1423.4292269793689,-243.6217536562041,-1176.599116528175,1.0,0.0,0.192758304999967,1.104617734999999,5.18651445,3,2.0,16.0,8.0,24.0,33.9975,15.999,51.996,2.55,1.66,3.44,170.5,152.0,189.0,1.2586500705120547,0.76,6.941,1,3,0.98,1,0,0,1,0,0,0,0,0,0,0,1,0,1
mp-1009813,0.1919988225,4.3612475613679145,SiSn,2.0,55.89218660970132,0.429199999999999,5.5e-06,insertion,-0.175472207499999,878.6812688657529,2730.97097185711,-154.18414193677424,-479.209505050186,1.0,0.0,0.1919988225,0.523977438333332,5.53362695,2,2.0,32.0,14.0,50.0,73.3975,28.085,118.71,1.93,1.9,1.96,213.5,210.0,217.0,0.04242640687119289,0.72,24.305,2,12,1.31,0,1,0,1,0,0,0,0,0,0,1,0,0,1
mp-1013526,0.017861314999999,3.362890387239581,VS2,2.0,56.820383419963306,0.0,1.003633,insertion,2.25870805,194.1274427298521,614.1949253241839,438.4772176198311,1387.2870220988834,1.0,0.0,0.017861314999999,0.0,4.57613559,3,2.0,19.5,16.0,23.0,41.50575,32.07,50.9415,2.105,1.63,2.58,179.5,179.0,180.0,0.6717514421272203,1.02,22.99,1,11,0.93,0,0,1,0,0,0,0,0,0,1,0,1,0,1
mp-1016165,0.02584797543667,4.009095949696769,LiMn8O16,3.0,581.8878050773939,0.0,50.0020865,insertion,2.85389679166668,37.781729902406006,151.72081050327506,107.82515775209356,432.995534324365,1.0,0.0,0.02584797543667,0.034245027826923,2.1559382,50,3.0,12.0,3.0,25.0,25.97901333333333,7.0,54.93804,1.9900000000000002,0.98,3.44,177.0,152.0,197.0,1.287672318565558,0.76,6.941,1,3,0.98,1,0,0,0,0,1,0,0,0,0,0,1,0,1
mp-1016253,0.031588726249999,2.692782205271771,Mg7Cd,2.0,174.23565492709847,0.0,0.0,insertion,-0.003843000070422,2038.541562739256,3760.211509877016,-7.834115369165445,-14.450493097259566,1.0,0.0,0.010341805624999,0.007827643099999,3.50708564,8,2.0,30.0,12.0,48.0,68.3575,24.305,112.41,1.5,1.31,1.69,165.5,158.0,173.0,0.268700576850888,0.72,24.305,2,12,1.31,0,1,0,0,1,0,0,0,0,0,0,1,0,1
mp-1016282,0.14106083463362,2.315786247910669,Mg7Mn,2.0,161.38906792382713,0.0,3.5332855,insertion,-1.275031162816901,2070.410115625845,3701.924922528767,-2639.837417234296,-4720.069638632721,1.0,0.0,0.14106083463362,0.01815313318046,3.96706617,8,2.0,18.5,12.0,25.0,39.621520000000004,24.305,54.93804,1.4300000000000002,1.31,1.55,185.0,173.0,197.0,0.16970562748477142,0.72,24.305,2,12,1.31,0,1,0,0,1,0,0,0,0,0,0,1,0,1
mp-1016298,0.183960584374999,2.116679392509112,Mg7V,2.0,173.43494071722748,0.0,3.2424374,insertion,-1.270314415598591,2072.6632791192715,3697.5142943047767,-2632.9340421470574,-4697.005709937211,1.0,0.0,0.183960584374999,0.0115107451,3.5978086300000003,8,2.0,17.5,12.0,23.0,37.62325,24.305,50.9415,1.47,1.31,1.63,176.0,173.0,179.0,0.2262741699796951,0.72,24.305,2,12,1.31,0,1,0,0,1,0,0,0,0,0,0,1,0,1
